Date,Open,High,Low,Close,Adj Close,Volume
2021-01-29,2.970000,2.990000,2.920000,2.930000,2.608194,6672400
2021-02-01,2.970000,2.970000,2.920000,2.950000,2.625997,4215200
2021-02-02,3.070000,3.090000,3.040000,3.090000,2.750620,7766400
2021-02-03,3.080000,3.130000,3.070000,3.130000,2.786227,5431000
2021-02-04,3.200000,3.250000,3.190000,3.220000,2.866342,4852700
2021-02-05,3.350000,3.360000,3.310000,3.350000,2.982064,6403300
2021-02-08,3.420000,3.450000,3.410000,3.440000,3.062179,6602500
2021-02-09,3.430000,3.450000,3.410000,3.450000,3.071081,4754500
2021-02-10,3.490000,3.500000,3.430000,3.440000,3.062179,5352900
2021-02-11,3.380000,3.440000,3.350000,3.430000,3.053278,9732100
2021-02-12,3.360000,3.410000,3.360000,3.410000,3.035474,3590800
2021-02-16,3.490000,3.560000,3.470000,3.560000,3.169000,11815200
2021-02-17,3.510000,3.530000,3.480000,3.520000,3.133393,13778900
2021-02-18,3.500000,3.520000,3.440000,3.510000,3.124491,8572300
2021-02-19,3.570000,3.650000,3.570000,3.640000,3.240213,16810700
2021-02-22,3.500000,3.560000,3.490000,3.530000,3.142294,10036800
2021-02-23,3.600000,3.620000,3.540000,3.600000,3.204606,7468900
2021-02-24,3.570000,3.610000,3.560000,3.600000,3.204606,4434100
2021-02-25,3.680000,3.700000,3.560000,3.560000,3.169000,9755600
2021-02-26,3.540000,3.560000,3.490000,3.510000,3.124491,10617300
2021-03-01,3.510000,3.560000,3.500000,3.530000,3.142294,6522100
2021-03-02,3.530000,3.550000,3.500000,3.530000,3.142294,6538000
2021-03-03,3.530000,3.590000,3.530000,3.560000,3.169000,9207000
2021-03-04,3.550000,3.590000,3.500000,3.530000,3.142294,9104300
2021-03-05,3.630000,3.690000,3.550000,3.680000,3.275820,10480800
2021-03-08,3.630000,3.660000,3.600000,3.640000,3.240213,7996100
2021-03-09,3.520000,3.590000,3.490000,3.550000,3.160098,8097300
2021-03-10,3.540000,3.580000,3.510000,3.570000,3.177901,4198700
2021-03-11,3.470000,3.530000,3.450000,3.510000,3.124491,3584800
2021-03-12,3.530000,3.600000,3.520000,3.600000,3.204606,5183400
2021-03-15,3.550000,3.570000,3.480000,3.540000,3.151196,4288500
2021-03-16,3.500000,3.510000,3.440000,3.490000,3.106688,4180600
2021-03-17,3.500000,3.530000,3.460000,3.500000,3.115589,3785300
2021-03-18,3.550000,3.620000,3.510000,3.520000,3.133393,7055300
2021-03-19,3.490000,3.500000,3.440000,3.470000,3.088885,6735600
2021-03-22,3.440000,3.440000,3.380000,3.430000,3.053278,5097600
2021-03-23,3.400000,3.430000,3.340000,3.360000,2.990966,5619900
2021-03-24,3.370000,3.420000,3.360000,3.370000,2.999867,4730100
2021-03-25,3.340000,3.400000,3.310000,3.390000,3.017671,5159600
2021-03-26,3.450000,3.490000,3.400000,3.460000,3.079983,6921400
2021-03-29,3.400000,3.440000,3.370000,3.410000,3.035474,4932000
2021-03-30,3.440000,3.480000,3.430000,3.470000,3.088885,3758400
